VBB-Nr;HAFAS-Nr;NAME;KOORDINATE_Y;KOORDINATE_X;lat;lon
17103;9017103;U Gleisdreieck (Berlin);5819380;4593430;52.499587;13.374293
17104;9017104;U MšckernbrŸcke (Berlin);5819320;4594040;52.498944;13.383256
17105;9017105;Berlin, Yorckstr./Gro§beerenstr.;5818730;4594090;52.493634;13.383826
17106;9017106;Berlin, Platz der LuftbrŸcke;5817600;4594330;52.483441;13.387038
17107;9017107;Berlin, Kaiserkorso;5817669;4594142;52.484093;13.384291
17109;9017109;Berlin, Katzbachstr./Kreuzbergstr.;5818240;4593640;52.489310;13.377064
17151;9017151;Berlin, Bergmannstr.;5818337;4594280;52.490071;13.386511
17152;9017152;Berlin, Kreuzberg/Wasserfall;5818343;4593996;52.490174;13.382333
17181;9017181;Berlin, Columbiadamm/Platz der LuftbrŸcke;5817706;4594530;52.484359;13.390012
18101;9018101;U Jakob-Kaiser-Platz (Berlin);5823440;4587880;52.536985;13.293661
18102;9018102;U Halemweg (Berlin);5823400;4587400;52.536703;13.286578
18103;9018103;Berlin, WeltlingerbrŸcke;5823730;4587970;52.539576;13.295064
18105;9018105;Berlin, HinckeldeybrŸcke;5824519;4588238;52.546621;13.299222
18106;9018106;Berlin, Goerdelerdamm;5823219;4588190;52.534949;13.298170
18151;9018151;Berlin, Habermannzeile;5823736;4587713;52.539671;13.291279
18152;9018152;Berlin, Hofackerzeile;5823450;4587690;52.537105;13.290864
18153;9018153;Berlin, Dahrendorfzeile;5823230;4587570;52.535148;13.289038
19102;9019102;Berlin, Gloedenpfad;5823720;4588450;52.539408;13.302134
19103;9019103;Berlin, Seestr./Beusselstr.;5823621;4590095;52.538250;13.326346
19105;9019105;Berlin, Buchholzweg;5824581;4589497;52.546973;13.317793
19152;9019152;Berlin, GedenkstŠtte Plštzensee;5824047;4589954;52.542100;13.324383
19153;9019153;Berlin, Friedrich-Olbricht-Damm/Saatwinkler Damm;5824639;4589142;52.547552;13.312577
19154;9019154;Berlin, Stieffring;5824364;4589157;52.545079;13.312724
19155;9019155;Berlin, Thaters Privatweg;5823734;4588991;52.539446;13.310109
19156;9019156;Berlin, Kolonie Zukunft;5823730;4588660;52.539464;13.305231
19157;9019157;Berlin, Gro§markt/Ausfahrt;5823240;4590130;52.534821;13.326758
19158;9019158;Berlin, Berliner Gro§markt;5823444;4590143;52.536651;13.327005
19202;9019202;Berlin, Reichweindamm;5823300;4588340;52.535653;13.300402
19203;9019203;Berlin, Friedrich-Olbricht-Damm/Heckerdamm;5823937;4589317;52.541217;13.314967
19204;9019204;U Mierendorffplatz (Berlin);5822230;4588720;52.525978;13.305715
19205;9019205;Berlin, Quedlinburger Str.;5821890;4588740;52.522920;13.305919
19252;9019252;Berlin, Wirmerzeile;5823442;4588494;52.536903;13.302708
19253;9019253;Berlin, Keplerstr.;5822470;4588658;52.528144;13.304866
20101;9020101;Berlin, Friedhšfe FŸrstenbrunner Weg;5822030;4586930;52.524469;13.279296
20102;9020102;Berlin, RohrdammbrŸcke;5822467;4586277;52.528499;13.269790
20103;9020103;Berlin, Kirschenallee;5821561;4586119;52.520384;13.267228
20105;9020105;Berlin, Machandelweg;5822029;4584606;52.524825;13.245063
20151;9020151;Berlin, FŸrstenbrunner Weg;5821640;4586980;52.520957;13.279930
20152;9020152;Berlin, Kastanienallee;5821470;4586460;52.519513;13.272227
20153;9020153;Berlin, DRK-Kliniken Westend;5821386;4586747;52.518712;13.276432
20201;9020201;S+U Jungfernheide Bhf (Berlin);5822700;4588260;52.530275;13.299064
20202;9020202;S Beusselstr. (Berlin);5823186;4590263;52.534314;13.328703
20204;9020204;Berlin, Sophie-Charlotten-Str.;5821410;4587450;52.518816;13.286792
20206;9020206;Berlin, Pulsstr.;5822021;4587359;52.524320;13.285612
20207;9020207;Berlin, Tegeler Weg/S Jungfernheide;5822600;4588070;52.529407;13.296238
20208;9020208;Berlin, OsnabrŸcker Str.;5822324;4588153;52.526914;13.297388
20252;9020252;Berlin, SchlossbrŸcke;5821885;4588332;52.522941;13.299908
20271;9020271;Berlin, Mollwitzstr.;5821782;4587383;52.522169;13.285903
20272;9020272;Berlin, Schlosspark-Klinik;5821860;4587574;52.522839;13.288737
20281;9020281;Berlin, Goerdelersteg;5822920;4588720;52.532177;13.305899
21102;9021102;Berlin, MarchbrŸcke;5821270;4589962;52.517150;13.323750
21151;9021151;Berlin, Marchstr.;5820862;4589894;52.513495;13.322639
21152;9021152;Berlin, Franklinstr.;5821820;4590250;52.522043;13.328141
21181;9021181;Berlin, Helmholtzstr.;5821676;4589784;52.520827;13.321238
22101;9022101;U Sophie-Charlotte-Platz (Berlin);5820550;4588190;52.510970;13.297463
22103;9022103;Berlin, Klausenerplatz;5821450;4587760;52.519125;13.291368
22105;9022105;Berlin, Haubachstr.;5821046;4588412;52.515391;13.300864
22106;9022106;Berlin, Bismarckstr./Kaiser-Friedrich-Str.;5820590;4588470;52.511284;13.301597
22151;9022151;Berlin, Eosanderstr.;5821370;4588620;52.518268;13.304013
22152;9022152;Berlin, Seelingstr.;5821150;4588110;52.516374;13.296444
22153;9022153;Berlin, Zillestr.;5820816;4588147;52.513367;13.296900
22171;9022171;Berlin, Schloss Charlottenburg;5821470;4588071;52.519255;13.295954
22172;9022172;Berlin, Luisenplatz/Schloss Charlottenburg;5821510;4588320;52.519574;13.299632
22201;9022201;U Deutsche Oper (Berlin);5820660;4589000;52.511827;13.309420
22202;9022202;U Richard-Wagner-Platz (Berlin);5821250;4588840;52.517154;13.307221
22203;9022203;Berlin, DovebrŸcke;5821409;4589723;52.518438;13.320268
22251;9022251;Berlin, Guerickestr.;5821302;4589533;52.517508;13.317441
22252;9022252;Berlin, Warburgzeile;5821149;4589058;52.516211;13.310405
23101;9023101;U Ernst-Reuter-Platz (Berlin);5820649;4589894;52.511582;13.322581
23104;9023104;Berlin, Otto-Suhr-Allee/Leibnizstr.;5820980;4589390;52.514638;13.315249
23105;9023105;Berlin, Uhlandstr./Kantstr.;5819990;4590120;52.505624;13.325731
23152;9023152;Berlin, Steinplatz;5820371;4590145;52.509043;13.326202
23172;9023172;Berlin, Jebensstr.;5820163;4590436;52.507126;13.330430
23201;9023201;S+U Zoologischer Garten Bhf (Berlin);5820139;4590606;52.506882;13.332927
23202;9023202;U Augsburger Str. (Berlin);5819440;4590880;52.500557;13.336771
23203;9023203;U KurfŸrstendamm (Berlin);5819790;4590510;52.503763;13.331419
23204;9023204;Berlin, Europa-Center;5819816;4590906;52.503930;13.337256
23206;9023206;Berlin, Joachimstaler Str./Kantstr.;5819966;4590465;52.505351;13.330804
23252;9023252;Berlin, Breitscheidplatz;5819950;4591010;52.505117;13.338824
23301;9023301;U Uhlandstr. (Berlin);5819670;4590160;52.502742;13.326233
23302;9023302;U Adenauerplatz (Berlin);5819351;4588883;52.500086;13.307348
23304;9023304;Berlin, Olivaer Platz;5819453;4589265;52.500940;13.312999
23305;9023305;Berlin, Lietzenburger Str./Uhlandstr.;5819367;4590113;52.500028;13.325459
23306;9023306;Berlin, Olivaer Platz SŸd;5819299;4589262;52.499557;13.312913
23351;9023351;Berlin, Bleibtreustr.;5819550;4589750;52.501732;13.320165
23352;9023352;Berlin, Pariser Str.;5819130;4590047;52.497910;13.324424
23354;9023354;Berlin, Friedrich-Hollaender-Platz;5819420;4590470;52.500445;13.330729
24101;9024101;S Charlottenburg Bhf (Berlin);5819910;4588610;52.505152;13.303477
24102;9024102;S Westkreuz (Berlin);5819440;4587230;52.501152;13.283036
24103;9024103;Berlin, Charlottenburg Bhf;5819800;4588550;52.504174;13.302565
24104;9024104;Berlin, Amtsgerichtsplatz;5820090;4588060;52.506858;13.295427
24106;9024106;S Messe Nord/ICC (Berlin);5820030;4587220;52.506454;13.283043
24108;9024108;Berlin, Kaiser-Friedrich-Str./Kantstr.;5820090;4588540;52.506781;13.302495
24151;9024151;Berlin, Kuno-Fischer-Str.;5820056;4587677;52.506615;13.289779
24200;9024200;U Wilmersdorfer Str./Kantstr. (Berlin);5820080;4588850;52.506641;13.307056
24201;9024201;U Bismarckstr. (Berlin);5820620;4588720;52.511513;13.305286
24202;9024202;U Wilmersdorfer Str. (Berlin);5819990;4588840;52.505834;13.306885
24203;9024203;S Savignyplatz (Berlin);5819910;4589720;52.504971;13.319820
24204;9024204;Berlin, Savignyplatz;5820007;4589892;52.505814;13.322379
24207;9024207;Berlin, Kantstr./Leibnizstr.;5820050;4589320;52.506294;13.313968
24208;9024208;Berlin, Bismarckstr./Leibnizstr.;5820700;4589363;52.512127;13.314776
24251;9024251;Berlin, Goethestr.;5820332;4589338;52.508825;13.314309
24252;9024252;Berlin, SchlŸterstr.;5820030;4589570;52.506074;13.317644
24253;9024253;Berlin, Mommsenstr.;5819720;4589300;52.503333;13.313585
25101;9025101;Berlin, Scholzplatz;5819981;4583502;52.506595;13.228287
25151;9025151;Berlin, Ragniter Allee;5820044;4583977;52.507088;13.235297
25152;9025152;Berlin, Mohrunger Allee;5820155;4584929;52.507938;13.249343
25154;9025154;Berlin, Am Postfenn;5819307;4582240;52.500731;13.209539
25155;9025155;Berlin, Schildhorn;5818610;4581570;52.494569;13.199504
25202;9025202;U Ruhleben (Berlin);5822110;4584390;52.525587;13.241902
25203;9025203;U Olympia-Stadion (Berlin);5821170;4584990;52.517048;13.250500
25252;9025252;Berlin, Spandauer Damm/Reichsstr.;5821910;4584950;52.523703;13.250100
25253;9025253;Berlin, Park Ruhwald;5821788;4585286;52.522554;13.255017
25254;9025254;Berlin, Meiningenallee;5821707;4585578;52.521781;13.259298
25255;9025255;Berlin, WiesendammbrŸcke;5822370;4584500;52.527906;13.243588
25301;9025301;Berlin, Flatowallee;5820094;4584399;52.507473;13.241523
